player,player_id,position,Season,Draft Class,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,weighted_blocking_grade,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_rg,snap_counts_rt,snap_counts_te,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_run_block
Matt Smith,41124,C,2020,2022,FRESNO ST,6,100,0,169,48.7,59.5,50.9,56.5,1,14,292,100,100,97.4,6,15,0,466,466,0,0,0,0,0,466,306,306,160
Dontae Lucas,98047,G,2020,2024,FLORIDA ST,8,100,1,167,48.7,57.5,52.1,55.4,2,8,298,100,100,97.3,8,13,3,525,0,525,0,0,0,0,525,316,316,209
Adam Amosa-Tagovailoa,47106,T,2018,2019,NAVY,9,99.1,0,237,48.7,17.6,54.1,46.0,1,2,48,96,96.2,88.5,0,7,4,227,0,0,166,0,47,15,229,51,53,176
Matt Craycraft,162694,C,2023,2024,DUKE,6,100,1,154,48.6,83.0,46.7,63.7,0,1,74,100,100,99.3,3,1,0,169,77,18,0,5,68,0,169,79,79,90
Jeremiah Crawford,146929,T,2023,2024,TENNESSEE,10,100,1,307,48.6,50.0,50.0,50.0,2,10,220,100,100,96.4,4,14,2,393,0,0,190,0,203,0,393,226,226,167
Ethan Miner,98068,C,2022,2024,ARK STATE,12,100,1,113,48.6,48.0,48.1,48.0,8,13,444,100,100,96.3,3,27,6,779,779,0,0,0,0,0,779,461,461,318
Devan Rogers,66122,C,2022,2024,TOLEDO,12,100,0,316,48.6,36.8,57.2,46.1,0,13,368,100,100,97.4,8,16,3,716,715,0,0,1,0,0,716,389,389,327
Nick Lowe,156100,G,2022,2023,LA MONROE,6,100,0,209,48.6,25.7,52.1,39.0,2,6,83,100,100,95.2,0,8,0,175,26,81,0,68,0,0,175,87,87,88
Grant Miller,60200,C,2020,2023,VANDERBILT,9,100,1,333,48.6,50.3,47.9,49.2,3,9,332,100,100,97.6,3,14,2,647,647,0,0,0,0,0,647,352,352,295
Linwood Foy,46259,G,2018,2019,LOUISVILLE,12,100,0,210,48.6,45.6,47.6,46.4,10,24,458,100,100,96.1,2,35,1,756,0,361,92,226,77,0,756,467,467,289
Dave Bowen,18026,T,2014,2016,BOSTON COL,12,100,0,121,48.6,19.5,61.3,49.7,1,3,41,100,100,92.7,3,5,1,155,0,0,117,0,32,6,155,43,43,112
Larry Mazyck,19788,T,2014,2016,KANSAS,12,100,1,198,48.6,32.3,64.1,46.9,7,16,323,100,100,94.9,10,28,5,617,0,0,17,0,598,2,617,333,333,284
Esa Pole,174220,T,2023,2024,WASH STATE,9,100,0,341,48.5,46.9,49.3,47.6,4,23,405,100,100,95.9,2,30,3,578,0,0,577,0,0,0,578,419,419,159
Tyler Miller,122526,T,2023,2024,IOWA STATE,13,100,0,193,48.5,38.9,52.3,44.7,5,21,411,100,100,96.8,0,26,0,759,0,0,0,0,758,0,759,428,428,331
Jeremiah Crawford,146929,T,2022,2024,TENNESSEE,9,100,1,307,48.5,42.2,53.1,47.0,1,8,203,100,100,96.3,4,12,3,407,0,0,407,0,0,0,407,228,228,179
Enokk Vimahi,101548,G,2022,2024,OHIO STATE,11,100,0,260,48.5,20.9,50.8,41.7,1,1,36,100,100,97.2,0,2,0,118,1,65,0,50,0,2,118,36,36,82
Ma'ake Fifita,100541,G,2021,2024,WASH STATE,13,100,0,341,48.5,41.4,48.8,44.4,3,16,275,100,100,95.1,4,23,4,474,0,0,28,390,52,2,474,282,282,192
Henry Hattis,41923,G,2020,2022,ARIZONA ST,4,100,1,110,48.5,37.8,50.2,44.1,0,5,93,100,100,96.2,1,6,1,220,0,0,0,219,0,0,220,109,109,111
Andrew Smith Jr.,81873,C,2019,2022,UAB,9,100,0,321,48.5,48.7,48.0,48.3,0,11,238,100,100,96.8,1,13,2,566,401,0,0,165,0,0,566,245,245,321
Nate Brown,40643,T,2018,2021,NEVADA,13,100,0,239,48.5,50.0,48.4,49.3,7,31,510,100,100,95.9,2,40,2,897,0,0,14,196,687,0,897,531,531,366
Corey Gaynor,59844,G,2017,2024,MIAMI FL,11,98.3,0,220,48.5,50.8,49.8,50.3,0,2,59,96.7,96.8,96.6,2,3,1,114,0,40,0,66,0,2,116,61,63,53
Brian Kilbane,130370,G,2023,2024,AKRON,6,100,0,102,48.4,75.8,45.8,65.2,0,6,121,100,100,97.5,5,6,0,198,0,62,0,136,0,0,198,128,128,70
Tyler Falvey,78287,G,2022,2023,MIDDLE TN,12,100,0,224,48.4,58.2,42.8,52.2,2,17,465,100,100,97.3,2,22,3,821,0,821,0,0,0,0,821,500,500,321
Ed Montilus,77353,G,2022,2024,N CAROLINA,12,100,0,245,48.4,55.0,45.6,51.6,6,16,551,100,100,97.3,8,26,4,900,0,900,0,0,0,0,900,574,574,326
Julius Pierce,98396,C,2022,2024,FIU,11,100,1,166,48.4,37.4,53.5,43.7,2,12,380,100,100,97.4,4,17,3,653,489,0,0,19,145,0,653,399,399,254
Ryan Beckman,100252,G,2021,2022,AKRON,12,100,1,102,48.4,38.7,52.9,44.1,3,25,466,100,100,95.7,5,34,6,780,199,580,0,0,0,0,780,486,486,294
Baveon Johnson,41337,C,2019,2022,FLORIDA ST,11,100,0,167,48.4,54.0,48.5,51.8,5,10,410,100,100,97,5,20,5,724,724,0,0,0,0,0,724,436,436,288
Frank Fillip,81624,T,2018,2023,COLORADO,8,100,0,143,48.4,44.4,52.4,48.1,0,7,105,100,100,95.7,2,8,1,216,0,0,8,0,208,0,216,116,116,100
Peyton Winstead,77519,C,2018,2019,E CAROLINA,8,100,0,156,48.4,29.2,55.6,36.7,1,21,274,100,100,96,2,22,0,409,409,0,0,0,0,0,409,293,293,116
Jimmie Sims,46991,T,2017,2018,W KENTUCKY,13,100,1,346,48.4,50.2,49.6,50.0,4,37,622,100,100,95.3,9,50,9,985,0,1,981,0,1,2,985,649,649,336
D.J. Park,46866,T,2016,2017,S CAROLINA,7,100,0,289,48.4,46.6,51.5,48.9,2,6,141,100,100,95.7,3,10,2,278,0,6,0,57,215,0,278,145,145,133
Drew Wilson,41664,T,2016,2021,GA SOUTHRN,8,100,2,174,48.4,14.2,59.3,43.4,2,16,124,100,100,91.9,2,19,1,367,0,11,0,21,335,0,367,129,129,238
Jordan Fagan,46053,G,2016,2017,ILLINOIS,6,99.2,1,187,48.4,37.8,48.1,41.7,0,3,78,98.7,98.8,95.5,1,5,2,128,0,54,7,45,12,8,129,80,81,48
Andrew Marshall,12715,C,2014,2019,GA TECH,6,100,0,176,48.4,24.2,53.5,48.9,1,1,17,100,100,94.1,1,2,0,127,115,0,0,0,12,0,127,20,20,107
Richard Rodriguez,144397,C,2022,2024,TEMPLE,8,100,0,306,48.3,42.7,48.2,44.9,1,9,259,100,100,97.7,0,11,1,455,284,171,0,0,0,0,455,269,269,186
Austin Myers,40815,T,2020,2023,TCU,6,100,3,305,48.3,41.5,56.5,48.3,3,9,203,100,100,95.6,9,15,3,402,0,3,266,132,0,1,402,220,220,182
Greg Eiland,41341,T,2018,2021,MISS STATE,13,100,0,227,48.3,40.7,58.1,50.0,3,18,232,100,100,92.9,6,27,6,523,0,0,522,0,0,1,523,244,244,279
Hadon Merchant,60056,G,2018,2022,S ALABAMA,12,100,0,288,48.3,46.3,48.5,47.5,3,4,209,100,100,96.9,3,10,3,478,0,478,0,0,0,0,478,223,223,255
Jaison Fournet,41412,C,2018,2019,E CAROLINA,4,100,0,156,48.3,36.6,54.5,45.8,0,3,49,100,100,94.9,1,4,1,109,109,0,0,0,0,0,109,53,53,56
Colin Byrne,45594,C,2016,2017,SYRACUSE,10,100,0,304,48.3,40.5,53.5,45.1,1,19,378,100,100,97.1,8,21,1,616,616,0,0,0,0,0,616,396,396,220
Jager Burton,146741,G,2022,2024,KENTUCKY,12,100,1,202,48.2,46.8,47.1,46.9,4,4,360,100,100,97.5,3,13,5,729,0,718,0,10,0,0,729,383,383,346
Michael Wiggs,41166,G,2021,2022,USF,8,100,0,327,48.2,19.5,52.6,37.2,0,5,85,100,100,95.9,0,6,1,194,0,0,0,191,0,1,194,90,90,104
Austin Troxell,58516,T,2020,2023,AUBURN,8,100,0,115,48.2,36.4,55.0,44.4,1,15,205,100,100,95.6,1,17,1,386,0,0,316,0,66,3,386,221,221,165
Dylan Couch,41390,G,2019,2022,TULSA,7,100,1,320,48.2,59.3,45.8,52.6,1,6,194,100,100,98.2,5,7,0,412,34,0,0,378,0,0,412,209,209,203
Kameren Stewart,98488,T,2023,2024,BOWL GREEN,13,100,0,122,48.1,49.6,53.1,51.1,3,20,386,100,100,94.9,8,31,8,719,0,0,719,0,0,0,719,403,403,316
Noah Smith,147054,T,2023,2024,ARK STATE,12,100,1,113,48.1,38.4,55.0,46.0,3,17,256,100,100,93.4,3,27,7,495,0,0,475,0,20,0,495,268,268,227
Jaylen Miller,41460,T,2020,2021,TULANE,11,100,0,319,48.1,44.6,48.3,46.7,3,5,110,100,100,93.6,1,11,3,278,0,0,26,32,220,0,278,122,122,156
Toa Lobendahn,45551,C,2018,2019,USC,11,99.9,1,326,48.1,58.7,51.8,55.8,0,10,405,100,100,98.8,10,10,0,745,746,0,0,0,0,0,746,431,431,314
Chris Bukoski,28230,T,2017,2018,E MICHIGAN,12,100,1,160,48.1,47.4,50.2,48.7,6,25,436,100,100,95.8,4,34,3,841,0,0,841,0,0,0,841,464,464,377
Quincy McGee,145453,G,2023,2024,OLE MISS,13,100,1,226,48.0,61.9,45.2,53.4,0,19,416,100,100,96.5,8,24,5,900,0,899,0,0,0,0,900,443,443,457
BJ Williams,170127,G,2023,2024,PITTSBURGH,9,100,1,268,48.0,40.2,46.0,42.4,2,13,219,100,100,96.6,1,15,0,372,0,0,0,372,0,0,372,233,233,139
Paula Vaipulu,122500,G,2022,2023,GA TECH,9,100,0,176,48.0,38.7,48.6,42.9,1,15,194,100,100,95.9,1,16,0,355,0,354,1,0,0,0,355,203,203,152
Trey Simpson,81836,C,2021,2022,S ALABAMA,10,100,2,288,48.0,45.1,48.3,46.4,1,25,387,100,100,96.1,4,28,2,694,370,257,0,67,0,0,694,402,402,292
Nate Pabst,145639,G,2023,2024,BOWL GREEN,13,100,0,122,47.9,56.7,41.7,49.9,3,10,273,100,100,96.9,2,15,2,518,0,0,65,453,0,0,518,284,284,234
Amelio Moran,78300,G,2022,2024,MARYLAND,7,100,0,215,47.9,43.1,48.0,44.6,0,3,100,100,100,98.5,1,3,0,154,0,115,0,38,0,1,154,106,106,48
T.J. Fiailoa,39844,G,2020,2021,LA MONROE,10,100,1,209,47.9,47.0,45.6,46.6,4,10,355,100,100,97.5,2,16,2,538,0,462,0,76,0,0,538,371,371,167
D'Andre Plantin,37015,T,2019,2020,N TEXAS,8,100,0,251,47.9,58.4,41.5,51.6,4,7,261,100,100,97.5,1,12,1,456,0,5,343,0,108,0,456,272,272,184
Brad Cecil,86862,C,2019,2023,USF,12,100,0,327,47.9,39.0,52.4,44.8,2,27,414,100,100,95.8,5,32,3,761,760,0,0,0,0,0,761,433,433,328
Wendy Laurent,46012,C,2014,2016,PENN STATE,6,100,0,266,47.9,58.7,49.7,54.6,1,8,141,100,100,96.8,3,9,0,274,251,2,0,11,0,10,274,149,149,125
Ty Furnish,151082,G,2023,2024,VIRGINIA,12,100,1,335,47.8,43.0,51.9,46.7,5,20,433,100,100,96.2,7,29,4,772,119,0,0,653,0,0,772,455,455,317
Anthony Todd,41847,C,2019,2022,BALL ST,6,100,0,117,47.8,49.5,46.9,48.2,0,7,122,100,100,96.3,0,8,1,258,249,9,0,0,0,0,258,130,130,128
Morgan Moore,81862,T,2018,2019,TEXAS ST,9,100,1,314,47.8,53.2,47.5,50.4,1,15,210,100,100,94.8,3,19,3,422,0,0,0,2,420,0,422,217,217,205
Zach Giella,37012,C,2018,2019,CLEMSON,10,100,0,140,47.8,35.4,51.0,46.1,0,0,39,100,100,100,0,0,0,123,119,0,0,4,0,0,123,39,39,84
Sebastian Willer,46873,T,2017,2018,GA STATE,12,100,1,175,47.8,44.9,47.8,46.2,4,40,415,100,100,93,2,51,7,781,0,0,0,0,781,0,781,437,437,344
Tshiyombu Lukusa,41546,T,2016,2019,MICH STATE,5,100,0,223,47.8,47.2,51.6,48.7,1,3,71,100,100,95.8,2,5,1,115,0,0,0,0,113,1,115,77,77,38
Kamaal Seymour,37020,T,2016,2020,RUTGERS,9,100,0,278,47.8,28.1,60.1,43.8,6,17,180,100,100,92.5,4,25,2,374,0,0,0,0,372,2,374,190,190,184
Darius James,46268,T,2014,2018,TEXAS,4,100,0,311,47.8,37.4,53.3,44.4,0,14,110,100,100,93.6,2,14,0,209,0,0,7,33,169,0,209,117,117,92
Deondre Buford,124053,T,2023,2024,CINCINNATI,12,100,0,138,47.7,56.1,47.5,51.8,4,17,343,100,100,94.9,8,28,7,728,0,0,1,0,722,4,728,364,364,364
Owen Murphy,100258,T,2023,2024,E CAROLINA,11,100,0,156,47.7,43.7,48.7,45.6,4,14,258,100,100,95.7,0,20,2,438,0,0,0,0,438,0,438,268,268,170
Devon Smith,171564,T,2023,2024,NEW MEXICO,5,100,0,241,47.7,25.5,58.7,42.4,0,12,103,100,100,91.3,1,15,3,242,0,0,0,0,236,6,242,119,119,123
Ireland Brown,155565,C,2022,2023,RUTGERS,11,100,1,278,47.7,57.6,50.0,53.9,3,6,297,100,100,98.1,9,10,1,616,616,0,0,0,0,0,616,313,313,303
Ernesto Ramirez,102825,T,2022,2023,ARK STATE,10,99.8,1,113,47.7,51.5,42.3,48.0,6,17,278,99.6,99.7,95.9,1,23,0,464,0,0,0,111,352,2,465,288,289,176
Jacob Dennison,125354,T,2022,2024,OHIO,10,100,0,259,47.7,19.9,62.9,38.4,3,18,183,100,100,93.7,1,22,1,333,0,1,224,0,107,1,333,190,190,143
Danielson Ike,98493,G,2020,2021,SMU,5,100,0,287,47.7,56.6,46.7,51.5,1,0,57,100,100,99.1,1,1,0,123,0,0,0,123,0,0,123,60,60,63
Xavier Newman,58525,G,2020,2022,BAYLOR,5,100,1,118,47.7,38.2,52.7,43.9,1,4,164,100,100,96,6,9,4,284,102,182,0,0,0,0,284,173,173,111
Brandon Heidecker,51619,G,2018,2020,TOLEDO,4,100,0,316,47.7,34.3,52.2,42.4,0,4,97,100,100,96.9,1,5,1,184,0,0,0,184,0,0,184,101,101,83
Max Magana,46933,T,2015,2017,GA SOUTHRN,5,100,0,174,47.7,25.7,51.0,46.6,0,0,18,100,100,94.4,0,1,1,116,0,0,113,0,3,0,116,20,20,96
Walker Baty,123299,T,2023,2024,UTSA,6,100,0,331,47.6,25.2,58.7,39.7,3,5,159,100,100,95.6,1,11,3,293,0,0,292,0,0,0,293,166,166,127
Jalil Irvin,81588,C,2022,2023,AUBURN,6,100,0,115,47.6,50.8,47.4,49.1,1,3,75,100,100,97.3,1,4,0,156,134,3,0,18,0,0,156,78,78,78
Broc Bando,59911,G,2022,2023,NEBRASKA,10,100,0,238,47.6,47.8,45.3,46.6,2,11,251,100,100,96.6,1,15,2,501,0,0,0,501,0,0,501,264,264,237
Thomas Mirabella,71402,G,2022,2024,S DIEGO ST,9,100,0,284,47.6,29.5,49.0,38.5,4,10,137,100,100,93.4,0,16,2,259,6,0,0,253,0,0,259,139,139,120
Dakota White,122688,T,2021,2024,LA TECH,12,100,0,208,47.6,39.8,57.6,47.4,4,14,294,100,100,95.6,7,22,4,540,0,0,151,0,377,11,540,308,308,232
Jonny King,122188,G,2021,2024,CHARLOTTE,4,100,0,136,47.6,44.6,44.7,44.6,2,2,56,100,100,96.4,0,4,0,103,0,73,0,30,0,0,103,62,62,41
Boe Wilson,41394,G,2020,2022,NEBRASKA,4,100,1,238,47.6,60.4,44.3,53.4,0,4,81,100,100,97.5,3,4,0,156,0,28,0,128,0,0,156,88,88,68
Johncarlo Valentin,77447,G,2018,2019,BAYLOR,11,100,0,118,47.6,46.3,44.7,45.7,7,17,387,100,100,96.1,1,27,3,679,0,665,13,0,0,0,679,408,408,271
Garrett Schwiebert,145900,T,2023,2024,TOLEDO,7,100,0,316,47.5,55.0,49.3,51.4,1,0,39,100,100,96.2,2,2,1,116,0,0,70,0,44,0,116,42,42,74
Isaiah Wright,129909,T,2022,2024,BUFFALO,12,100,0,126,47.5,58.3,40.9,50.5,2,19,477,100,100,97.4,3,23,2,906,0,0,906,0,0,0,906,500,500,406
Jacobi Lott,77480,G,2019,2021,KANSAS,9,100,0,198,47.5,52.1,41.0,48.3,1,6,134,100,100,97.4,0,7,0,221,0,212,0,0,0,0,221,145,145,76
Jordan Daniels,100260,T,2022,2024,AKRON,6,100,0,102,47.4,43.0,50.7,45.1,2,12,224,100,100,94.6,1,19,5,323,0,0,323,0,0,0,323,234,234,89
Xavier Black,100811,C,2022,2024,DOMINION,12,100,1,263,47.4,34.6,55.7,41.7,5,21,479,100,100,95.2,5,36,10,761,761,0,0,0,0,0,761,505,505,256
Jordan Palmer,121816,C,2020,2023,MIDDLE TN,6,100,0,224,47.4,34.5,54.1,41.9,2,9,216,100,100,97,2,12,1,372,372,0,0,0,0,0,372,231,231,141
Jarrett Hopple,41856,T,2019,2021,USF,9,100,0,327,47.4,33.4,53.4,42.6,4,6,145,100,100,94.5,1,13,3,285,0,0,46,0,238,0,285,154,154,131
Nick Follmer,55056,T,2018,2019,C MICHIGAN,8,99.8,1,134,47.4,44.9,52.4,48.5,3,9,217,99.5,99.6,94.5,4,18,6,439,0,0,6,0,433,1,440,229,230,210
Ja'Khi Green,129514,G,2023,2024,CHARLOTTE,10,100,1,136,47.3,33.2,51.6,42.6,4,9,263,100,100,96,7,17,4,579,0,0,0,579,0,0,579,283,283,296
Api Mane,77477,C,2019,2022,KANSAS,12,100,1,198,47.3,23.2,57.3,38.8,4,7,168,100,100,96.1,3,12,1,331,331,0,0,0,0,0,331,180,180,151
Tosh Baker,122892,T,2023,2024,NOTRE DAME,9,99.2,0,258,47.2,57.3,45.2,49.4,1,1,41,97.6,97.6,97.6,0,2,0,117,0,0,46,0,64,8,118,41,42,76
Weylin Lapuaho,157628,G,2022,2024,UTAH ST,12,100,0,329,47.2,62.6,47.6,55.1,2,9,272,100,100,98,9,11,0,599,0,0,0,598,0,0,599,300,300,299
Jack Conley,98524,T,2021,2024,BOSTON COL,8,100,0,121,47.2,26.7,67.4,43.4,5,10,126,100,100,88.5,3,22,7,226,0,0,160,0,59,7,226,133,133,93
Blake Lodes,81710,T,2021,2022,LA MONROE,7,100,0,209,47.2,21.1,55.0,37.7,1,6,100,100,100,93.5,0,10,3,212,0,0,170,41,0,1,212,108,108,104
Airon Servais,41573,T,2020,2022,SYRACUSE,11,100,0,304,47.2,43.6,50.3,46.2,5,12,396,100,100,96.1,2,24,7,669,0,0,198,0,470,1,669,414,414,255
Brian Ankerson,41827,C,2020,2021,S ALABAMA,11,100,1,288,47.2,38.5,48.8,43.0,4,17,423,100,100,96.8,5,24,3,791,791,0,0,0,0,0,791,446,446,345
Branden Pena,40714,C,2019,2020,E CAROLINA,12,100,0,156,47.2,51.9,46.3,49.4,3,13,346,100,100,97.7,4,16,0,663,586,0,0,77,0,0,663,372,372,291
Jacob Still,41563,C,2019,2022,ARK STATE,11,100,0,113,47.2,41.9,49.2,44.9,3,14,445,100,100,96.7,4,23,6,810,810,0,0,0,0,0,810,476,476,334
Brian Parish,59948,T,2019,2020,N TEXAS,7,100,0,251,47.2,33.6,55.9,44.5,2,5,61,100,100,94.3,1,7,0,121,0,0,111,0,10,0,121,62,62,59
Shane McGough,41342,C,2017,2021,FIU,9,100,0,166,47.2,24.2,56.2,39.7,1,10,144,100,100,92.7,2,16,5,289,289,0,0,0,0,0,289,149,149,140
Brock Macaulay,47005,T,2016,2017,KENT STATE,7,100,1,201,47.2,48.8,48.8,48.8,1,8,94,100,100,93.1,2,11,2,163,0,0,7,0,155,1,163,98,98,65
Marcus Oliver,27389,T,2015,2018,HOUSTON,10,100,1,182,47.2,41.1,53.2,47.7,2,8,158,100,100,92.4,4,17,7,357,0,11,336,10,0,0,357,162,162,195
Ryan Hoefeld,28232,C,2015,2016,FLORIDA ST,4,100,0,167,47.2,27.0,56.0,38.5,5,8,148,100,100,95.6,2,13,0,255,255,0,0,0,0,0,255,154,154,101
Delfin Xavier Castillo,146960,G,2023,2024,VANDERBILT,12,100,3,333,47.1,47.9,50.6,49.0,5,12,307,100,100,96.9,7,18,1,535,26,508,0,0,0,1,535,325,325,210
Kendall Major,100243,G,2023,2024,TOLEDO,6,100,0,316,47.1,34.9,47.1,40.9,1,1,62,100,100,98.4,0,2,0,125,0,62,0,62,0,0,125,64,64,61
Mitchell Mayes,122151,G,2023,2024,CLEMSON,9,100,1,140,47.1,23.1,57.1,37.3,4,16,191,100,100,93.2,4,23,3,352,0,30,0,299,23,0,352,205,205,147
McKale Boley,156387,T,2022,2024,VIRGINIA,5,100,0,335,47.1,39.3,58.3,47.0,1,8,77,100,100,94.2,2,9,0,135,0,0,106,0,29,0,135,80,80,55
Evan Buss,130543,T,2021,2024,N ILLINOIS,12,99.3,0,254,47.1,18.0,52.8,47.9,0,3,19,95,95.2,92.1,1,3,0,140,0,0,33,0,1,107,141,20,21,120
Hunter Kelly,41892,C,2021,2022,CHARLOTTE,12,100,1,136,47.1,45.2,47.0,46.0,3,19,417,100,100,96.9,5,24,2,816,782,0,0,34,0,0,816,450,450,366
Ethan Piper,101586,G,2020,2024,NEBRASKA,8,100,0,238,47.1,56.4,46.5,51.4,1,7,243,100,100,98.4,5,8,0,515,0,515,0,0,0,0,515,253,253,262
Tater Reid,156628,T,2023,2024,UAB,4,100,0,321,47.0,49.5,47.8,48.9,0,5,97,100,100,93.3,1,9,4,162,0,0,0,1,161,0,162,102,102,60
Braedon Nutter,129859,C,2023,2024,RICE,13,100,2,275,47.0,36.0,51.3,42.0,1,23,479,100,100,96.2,6,30,6,830,830,0,0,0,0,0,830,502,502,328
Brayden Rohme,100535,T,2022,2024,CAL,10,100,0,130,47.0,43.1,50.8,45.7,4,18,326,100,100,96.3,3,23,1,522,0,0,390,0,132,0,522,345,345,177
Noah Smith,147054,T,2022,2024,ARK STATE,7,100,0,113,47.0,39.0,50.7,43.9,3,7,134,100,100,92.5,2,15,5,239,0,0,22,0,217,0,239,139,139,100
Vincent McConnell,55089,G,2021,2022,CINCINNATI,9,100,0,138,47.0,62.7,41.9,53.1,1,5,175,100,100,97.7,1,7,1,339,102,0,0,237,0,0,339,182,182,157
Gerquan Scott,100792,G,2021,2024,SO MISS,12,100,1,296,47.0,56.7,47.4,52.1,3,10,343,100,100,97.5,8,15,2,730,0,730,0,0,0,0,730,366,366,364
Jordan Daniels,100260,G,2020,2024,AKRON,6,100,0,102,47.0,26.3,51.3,37.4,2,14,197,100,100,95.9,1,16,0,373,0,0,0,373,0,0,373,208,208,165
Larry Boyd,59740,T,2017,2018,ILLINOIS,12,99.8,3,187,47.0,46.8,50.3,48.4,6,17,308,100,99.7,94.3,7,29,6,599,0,23,309,10,257,1,600,329,330,270
Aaron Monteiro,25693,T,2015,2019,BOSTON COL,6,100,1,121,47.0,41.3,57.1,49.0,5,9,148,100,100,94.6,3,15,1,313,0,0,310,0,0,3,313,161,161,152
Colby Smith,146667,G,2023,2024,TROY,7,100,0,318,46.9,32.0,46.9,39.9,1,2,54,100,100,95.4,0,4,1,119,0,99,0,14,4,2,119,56,56,63
Alex Pihlstrom,60911,G,2020,2023,ILLINOIS,5,100,0,187,46.9,50.9,42.7,46.9,0,5,82,100,100,97,0,5,0,175,5,168,0,0,0,0,175,90,90,85
Charlie Schmidt,81772,G,2020,2023,NWESTERN,9,99.5,0,256,46.9,29.1,53.1,39.9,1,6,109,99.1,99.1,95,1,9,2,205,32,0,2,145,0,27,206,113,114,92
Hunter Corne,58462,G,2019,2020,AKRON,12,100,0,102,46.9,35.8,49.4,39.6,2,30,507,100,100,95.9,5,37,5,746,0,0,0,746,0,0,746,535,535,211
AJ Addison,31940,T,2017,2018,MARSHALL,4,100,0,214,46.9,53.8,47.5,51.1,0,3,58,100,100,97.4,1,3,0,109,0,0,109,0,0,0,109,62,62,47
Ryan Roberts,36149,T,2017,2020,N ILLINOIS,13,100,0,254,46.9,50.1,47.6,48.8,5,14,290,100,100,96,4,21,2,611,0,0,0,0,610,0,611,300,300,311
Maxim Moore,59734,G,2017,2018,IDAHO,5,100,0,185,46.9,28.7,50.3,37.5,1,15,182,100,100,94,2,19,3,320,0,194,0,126,0,0,320,189,189,131
Steven Jones,81792,G,2022,2024,OREGON,4,100,0,264,46.8,56.8,47.7,52.8,1,3,112,100,100,97.3,3,5,1,211,0,0,0,205,4,2,211,118,118,93
Sean Bailey,40720,G,2020,2022,E CAROLINA,9,100,0,156,46.8,61.0,44.1,52.9,1,7,220,100,100,97.7,3,9,1,458,0,107,0,350,0,0,458,239,239,219
Chris Murray,81885,G,2018,2023,UCLA,12,100,2,324,46.8,42.0,50.6,45.8,5,21,451,100,100,96.7,9,28,2,846,197,0,0,649,0,0,846,471,471,375
James Hendren,27923,T,2015,2016,BOSTON COL,9,100,0,121,46.8,74.6,46.1,57.1,0,1,74,100,100,99.3,3,1,0,200,0,0,10,0,187,3,200,77,77,123
Luke Palmer,46190,G,2015,2016,UCF,6,100,0,323,46.8,33.6,55.7,40.9,4,9,181,100,100,95.9,3,14,1,280,0,125,0,96,59,0,280,188,188,92
Lavel Dumont,77512,G,2022,2024,TOLEDO,4,100,1,316,46.7,43.2,50.7,46.4,1,5,71,100,100,95.8,2,6,0,125,0,0,0,125,0,0,125,72,72,53
Sioape Vatikani,158334,G,2022,2024,CAL,11,100,0,130,46.7,26.2,52.9,35.4,3,16,358,100,100,97.1,3,20,1,579,0,217,0,362,0,0,579,379,379,200
Kyle Hoppe,40461,C,2019,2022,S JOSE ST,12,100,0,285,46.7,62.2,42.4,55.6,3,14,496,100,100,98.3,9,17,0,791,791,0,0,0,0,0,791,529,529,262
Henry Bazakas,36548,T,2019,2020,CAL,8,100,2,130,46.7,53.6,44.4,50.1,2,11,182,100,100,95.3,3,15,2,313,0,33,276,0,0,4,313,195,195,118
Max Iheanachor,171881,T,2023,2024,ARIZONA ST,6,100,0,110,46.6,50.9,47.0,49.5,2,13,198,100,100,96.2,3,15,0,324,0,2,0,0,320,2,324,206,206,118
Nick Pendley,99097,T,2021,2022,GA TECH,4,100,0,176,46.6,55.0,51.0,53.0,0,2,54,100,100,96.3,2,3,1,113,0,0,0,27,86,0,113,57,57,56
Matthew Bedford,101579,T,2019,2024,INDIANA,9,100,0,190,46.6,39.8,59.5,47.3,6,17,319,100,100,95.1,8,27,4,563,0,0,563,0,0,0,563,349,349,214
Troy Thingstad,36646,T,2018,2020,S ALABAMA,12,100,0,288,46.6,41.1,50.1,45.8,2,17,258,100,100,95.5,3,21,2,590,0,0,590,0,0,0,590,280,280,310
Tristen Bittner,98278,G,2023,2024,KENT STATE,9,100,0,201,46.5,48.3,43.1,45.9,1,5,142,100,100,97.2,0,7,1,289,0,234,53,1,0,0,289,153,153,136
Tellek Lockette,163512,G,2022,2024,LA MONROE,8,100,0,209,46.5,36.6,45.6,41.2,2,4,93,100,100,95.7,0,7,1,201,0,0,0,201,0,0,201,98,98,103
Briason Mays,77469,T,2020,2024,W VIRGINIA,8,100,1,343,46.5,47.7,48.5,48.0,4,6,187,100,100,96.3,3,12,2,330,0,0,6,0,324,0,330,192,192,138
Josh Ilaoa,123039,C,2022,2024,SYRACUSE,4,100,0,304,46.4,47.2,46.8,47.0,0,4,63,100,100,95.2,0,5,1,123,123,0,0,0,0,0,123,67,67,56
